Diamond #,Cut Type,X (px),Y (px),Width (px),Height (px),Area (px²),Aspect Ratio
298,Round,954,656,4.5,6.7,18.0,1.5
299,Marquise,852,650,14.0,30.5,222.0,2.17
300,Baguette,971,657,17.0,2.4,20.0,7.23
301,Round,909,652,11.3,15.0,70.5,1.33
302,Round,252,653,13.0,11.2,105.5,1.16
303,Marquise,196,625,28.0,53.4,476.5,1.9
304,Round,927,658,14.8,11.2,110.0,1.32
305,Round,846,662,14.1,14.4,117.5,1.02
306,Round,896,657,20.9,20.8,263.0,1.01
307,Round,235,668,10.6,12.7,89.5,1.2
308,Round,972,665,27.2,19.7,346.5,1.38
309,Round,262,669,14.1,12.7,105.5,1.11
310,Marquise,855,669,30.6,12.6,245.0,2.42
311,Round,899,668,22.8,25.5,347.5,1.11
312,Baguette,855,681,4.6,17.0,34.0,3.72
313,Round,835,678,12.5,14.8,116.0,1.18
314,Marquise,964,678,8.7,15.8,91.5,1.83
315,Round,272,683,11.1,12.2,72.5,1.09
316,Round,241,683,14.3,13.4,141.5,1.07
317,Marquise,931,680,18.7,37.7,470.5,2.01
318,Round,822,691,12.5,15.2,128.0,1.21
319,Marquise,890,680,17.8,29.5,307.0,1.65
320,Round,288,694,13.9,12.5,83.5,1.11
321,Round,251,693,13.4,18.4,164.0,1.37
322,Round,855,696,12.7,16.3,128.5,1.28
323,Round,949,698,17.9,22.1,233.5,1.23
324,Marquise,900,709,7.0,4.0,17.5,1.75
325,Round,226,703,15.2,14.1,132.0,1.08
326,Round,811,704,17.8,12.9,161.5,1.38
327,Round,299,712,6.4,5.3,20.5,1.21
328,Round,931,714,14.2,17.4,143.5,1.22
329,Marquise,267,708,10.3,17.4,103.0,1.7
330,Round,843,711,13.3,16.1,143.5,1.21
331,Marquise,312,712,9.2,18.4,65.5,2.0
332,Round,879,712,20.0,15.0,195.5,1.33
333,Marquise,244,722,5.1,11.7,25.5,2.31
334,Marquise,908,719,17.0,10.7,102.0,1.59
335,Round,797,716,14.1,15.6,136.0,1.1
336,Round,274,717,13.3,16.2,139.0,1.22
337,Round,324,720,13.9,19.2,169.5,1.38
338,Round,382,716,15.6,23.3,243.0,1.5
339,Marquise,405,716,24.5,15.1,269.5,1.62
